speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario,time_saved
154.62013918771802,268.0,62.63903466303767,47.46565433134535,100.0,30.16949152542373,0.25254237288135595,149,9383.540587290663,11759.0,3.7644067796610168,38,0.0,590,76.712,18.0,76.712,MEDIUM,18.0,33399.028225113114,1,556993.3103281673,0.9961892646502453,78.129,82.02056355289297,50% Improved Tire,0.01482971879681827
153.62834672098774,268.0,63.19367520511141,46.46214245542923,100.0,29.471890971039183,0.24701873935264054,145,9337.922270417559,11817.0,3.746166950596252,37,0.0,587,76.823,19.0,76.823,MEDIUM,19.0,33632.748488623314,1,590626.0588167906,0.9972776521426905,78.129,82.02481528421282,50% Improved Tire,0.010605764391442563
151.79881458175805,270.0,63.747485700705894,45.93020064618547,100.0,29.145728643216078,0.2529313232830821,151,9265.189658389434,11838.0,3.710217755443886,39,0.0,597,77.214,20.0,77.214,MEDIUM,20.0,34808.898103105035,1,625434.9569198956,0.9980779242731784,78.129,82.02794150727696,50% Improved Tire,0.007494060831433558
153.55142574743567,269.0,62.80275744347271,47.24764525974615,100.0,30.522765598650924,0.25463743676222594,151,9330.601280052704,11905.0,3.730185497470489,38,0.0,593,76.803,21.0,76.803,MEDIUM,21.0,33721.906114585545,1,659156.8630344812,0.9986281137075621,78.129,82.03009079479291,50% Improved Tire,0.005351852986933636
154.7010591419606,269.0,64.70306042843734,47.2079744005426,100.0,30.931458699472756,0.2530755711775044,144,9349.804009780357,12101.0,3.720562390158172,40,0.0,569,76.659,22.0,76.659,MEDIUM,22.0,34237.43750470236,1,693394.3005391834,0.9990258478016522,78.129,82.03164452314478,50% Improved Tire,0.0038017697415853036
154.46638630275356,270.0,64.35551757095757,47.761063460825824,100.0,32.52595155709342,0.24740484429065743,143,9337.048061141682,11756.0,3.7231833910034604,38,0.0,578,76.604,23.0,76.604,MEDIUM,23.0,34399.645283634774,1,727793.9458228182,0.999309392876576,78.129,82.0327521778027,50% Improved Tire,0.002695959062066322
154.10571934548207,271.0,63.34798954922916,47.514300860489094,100.0,30.83475298126065,0.25894378194207834,152,9338.910950881755,11821.0,3.7478705281090288,40,0.0,587,76.798,24.0,76.798,MEDIUM,24.0,34020.66400360086,1,761814.6098264192,0.9995085479090294,78.129,82.03353016697925,50% Improved Tire,0.0019188895147976837
153.24578125320605,270.0,64.35896786760715,46.50601914657443,100.0,30.730050933786078,0.2597623089983022,153,9314.288745884045,11909.0,3.735144312393888,42,0.0,589,77.183,25.0,77.183,MEDIUM,25.0,35146.08521334866,1,796960.6950397678,0.9996541851184129,78.129,82.03409909145583,50% Improved Tire,0.0013504413798841597
151.28085929990146,272.0,64.60600351073515,46.04341216996559,100.0,29.7029702970297,0.24587458745874588,149,9208.03081932855,11754.0,3.707920792079208,40,0.0,606,77.212,26.0,77.212,MEDIUM,26.0,36207.513611902184,1,833168.20865167,0.9997592332863696,78.129,82.03450945687153,50% Improved Tire,0.0009403166769885729
152.71334300018478,274.0,65.1349387191745,46.640069775046086,100.0,30.136986301369863,0.25,146,9349.710680307719,11774.0,3.683219178082192,43,0.0,584,77.259,27.0,77.259,MEDIUM,27.0,35511.11603057228,1,868679.3246822422,0.9998311995393475,78.129,82.03479058944049,50% Improved Tire,0.0006592992507137296
152.90738205137097,272.0,65.79329909440126,46.093146697348786,100.0,29.103214890016922,0.24873096446700507,147,9231.970451387857,11762.0,3.749576988155668,41,0.0,591,77.77,28.0,77.77,MEDIUM,28.0,36655.19895766821,1,905334.5236399105,0.9998830010077439,78.129,82.0349929492867,50% Improved Tire,0.000456997238828194
150.45103304062658,274.0,65.38681600066278,46.31553589035368,100.0,30.333333333333336,0.265,159,9223.143315664125,11967.0,3.67,38,0.0,600,78.001,29.0,78.001,MEDIUM,29.0,36917.98020397803,1,942252.5038438885,0.999919118467729,78.129,82.03513404033826,50% Improved Tire,0.00031593410643893094
151.26362041541137,273.0,65.93084210840794,45.39238617723831,100.0,28.833333333333332,0.2683333333333333,161,9268.620547136432,12055.0,3.6416666666666666,44,0.0,600,78.16,30.0,78.16,MEDIUM,30.0,37564.03214274349,1,979816.535986632,0.9999444465734585,78.129,82.03523298331689,50% Improved Tire,0.00021700462708906798
149.5350551096668,271.0,65.0931054021959,45.62079507497935,100.0,29.35323383084577,0.24543946932006633,148,9205.353768165201,11654.0,3.6351575456053067,40,0.0,603,78.741,31.0,78.741,MEDIUM,31.0,36437.814682102566,1,1016254.3506687345,0.9999614110081225,78.129,82.0352992540327,50% Improved Tire,0.00015074015017546571
151.0244636100913,271.0,65.21852901716143,46.046600685977204,100.0,30.491803278688522,0.2786885245901639,170,9254.391464652199,11898.0,3.6622950819672133,45,0.0,610,78.816,32.0,78.816,MEDIUM,32.0,37607.128552262984,1,1053861.4792209975,0.9999735065968106,78.129,82.03534650484511,50% Improved Tire,0.0001034924129612591
150.52956397681362,273.0,64.81636005106415,46.04277569048038,100.0,29.692832764505116,0.27474402730375425,161,9292.957369537226,11751.0,3.6484641638225255,39,0.0,586,78.946,33.0,78.946,MEDIUM,33.0,35484.33755296603,1,1089345.8167739636,0.9999814206195056,78.129,82.03537742057907,50% Improved Tire,7.257807244798187e-05
152.13696572832754,273.0,64.30381760532977,47.19183310539415,100.0,29.850746268656714,0.24212271973466004,146,9360.611273206057,11840.0,3.656716417910448,40,0.0,603,78.044,34.0,78.044,MEDIUM,34.0,35735.657180135786,1,1125081.4739540995,0.9999870032955896,78.129,82.03539922902407,50% Improved Tire,5.07703160934625e-05
152.53027254290876,272.0,65.45940359220477,46.66476571220853,100.0,29.61730449251248,0.24792013311148087,149,9336.40124610439,11727.0,3.6622296173044924,41,0.0,601,78.024,35.0,78.024,MEDIUM,35.0,36953.92880674241,1,1162035.402760842,0.9999910185931904,78.129,82.03541491458338,50% Improved Tire,3.5085101501408644e-05
