speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario
152.7796039349515,267.0,62.57078380776152,45.38717101364376,100.0,30.240549828178693,0.2508591065292096,146,9305.637129647368,11702.0,3.7147766323024056,38,0.0,582,76.993,12.0,76.993,MEDIUM,12.0,65269.66200343601,1,718200.8036343519,0.9992398600799829,78.129,82.03248055140946,Baseline (Standard Tire)
153.46612767847336,266.0,60.4270593326941,46.4328959363951,100.0,27.533783783783782,0.2516891891891892,149,9386.493858936186,11857.0,3.7128378378378377,35,0.0,592,77.434,13.0,77.434,MEDIUM,13.0,62240.69433738476,1,780441.4979717367,0.9995920700052257,78.129,82.03385644187192,Baseline (Standard Tire)
153.42829512823047,267.0,62.08546105530927,45.91542395199009,100.0,29.322033898305083,0.23559322033898306,139,9302.75958345326,11888.0,3.7084745762711866,37,0.0,590,77.065,14.0,77.065,MEDIUM,14.0,64967.11414106195,1,845408.6121127987,0.9997869718243866,78.129,82.03461781608338,Baseline (Standard Tire)
153.05814381744452,268.0,62.01682435376165,46.288258671097985,100.0,29.66101694915254,0.24067796610169492,142,9300.515892453346,11780.0,3.7355932203389832,39,0.0,590,77.079,15.0,77.079,MEDIUM,15.0,64952.3627383642,1,910360.9748511629,0.9998887365503518,78.129,82.03501535489713,Baseline (Standard Tire)
154.36869222204342,267.0,63.24870922166375,46.31708458654706,100.0,29.5,0.25,150,9397.9082871025,11768.0,3.7,39,0.0,600,76.824,16.0,76.824,MEDIUM,16.0,69125.62790138226,1,979486.6027525451,0.9999442629815428,78.129,82.03523226612425,Baseline (Standard Tire)
153.47646256426964,268.0,63.49288056377315,47.77640320235401,100.0,29.743589743589745,0.24444444444444444,143,9313.875617109832,11769.0,3.747008547008547,41,0.0,585,76.86,17.0,76.86,MEDIUM,17.0,67701.9614535631,1,1047188.5642061082,0.9999716783957093,78.129,82.03533936306891,Baseline (Standard Tire)
154.62013918771802,268.0,62.63903466303767,47.46565433134535,100.0,30.16949152542373,0.25254237288135595,149,9383.540587290663,11759.0,3.7644067796610168,38,0.0,590,76.712,18.0,76.712,MEDIUM,18.0,66798.05645022623,1,1113986.6206563346,0.9999854782960941,78.129,82.03539327168978,Baseline (Standard Tire)
153.62834672098774,268.0,63.19367520511141,46.46214245542923,100.0,29.471890971039183,0.24701873935264054,145,9337.922270417559,11817.0,3.746166950596252,37,0.0,587,76.823,19.0,76.823,MEDIUM,19.0,67265.49697724663,1,1181252.1176335812,0.9999925888221438,78.129,82.03542104860426,Baseline (Standard Tire)
151.79881458175805,270.0,63.747485700705894,45.93020064618547,100.0,29.145728643216078,0.2529313232830821,151,9265.189658389434,11838.0,3.710217755443886,39,0.0,597,77.214,20.0,77.214,MEDIUM,20.0,69617.79620621007,1,1250869.9138397912,0.9999963056249004,78.129,82.0354355681084,Baseline (Standard Tire)
153.55142574743567,269.0,62.80275744347271,47.24764525974615,100.0,30.522765598650924,0.25463743676222594,151,9330.601280052704,11905.0,3.730185497470489,38,0.0,593,76.803,21.0,76.803,MEDIUM,21.0,67443.81222917109,1,1318313.7260689624,0.9999981179280006,78.129,82.03544264777985,Baseline (Standard Tire)
